Source,poly_id,ScientificName,CommonName,Season-WDKBA,Max_Year_SiteEsts,Best_Site_MI
Beck,57,Thalassarche chrysostoma,Grey-headed albatross,breeding,2020,7999
Beck,58,Aptenodytes patagonicus,King penguin,breeding,2020,94305
Beck,58,Eudyptes schlegeli,Royal penguin,breeding,2020,1197404
Beck,59,Eudyptes chrysolophus,Macaroni penguin,breeding,2020,31449
Beck,59,Mirounga leonina,Southern elephant seal,breeding,2020,16332
Cand,60,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,4
Cand,60,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,3
Cand,60,Diomedea amsterdamensis,Amsterdam Albatross,non-breeding,2016,18
Cand,60,Diomedea amsterdamensis,Amsterdam Albatross,non-breeding,2016,18
Cand,60,Diomedea exulans,Snowy Albatross,immature (non-breeding),2016,236
Cand,60,Diomedea exulans,Snowy Albatross,immature (non-breeding),2016,311
Cand,60,Diomedea exulans,Snowy Albatross,immature (non-breeding),2016,311
Cand,60,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,200
Cand,60,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2001,466
Cand,60,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2001,466
Beck,60,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
Cand,60,Phoebetria fusca,Sooty Albatross,non-breeding,2016,888
Cand,60,Phoebetria fusca,Sooty Albatross,breeding,2016,780
Cand,60,Pterodroma baraui,Barau's Petrel,breeding,2009,813
Beck,61,Phoebetria fusca,Sooty albatross,non-breeding,2020,1027
Beck,62,Phoebetria fusca,Sooty albatross,non-breeding,2020,1027
Cand,63,Diomedea exulans,Snowy Albatross,immature (non-breeding),2003,399
Cand,63,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2001,532
Beck,63,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
Cand,63,Phoebetria fusca,Sooty Albatross,non-breeding,2016,1088
Beck,63,Procellaria aequinoctialis,White-chinned petrel,breeding,2020,13255
Cand,64,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,4
Cand,64,Diomedea amsterdamensis,Amsterdam Albatross,non-breeding,2016,18
Cand,64,Diomedea amsterdamensis,Amsterdam Albatross,non-breeding,2016,18
Cand,64,Diomedea exulans,Snowy Albatross,immature (non-breeding),2016,236
